,food,ALPHA-TOCOPHEROL,AMYLOSE,ASCORBATE|ASCORBIC-ACID,ASCORBIC-ACID,BIOTIN,CALCIUM,CARBOHYDRATE,CARBOHYDRATES,CARBOHYDRATE|CARBOHYDRATES,CHLORIDE,CHROMIUM,COPPER,FAT,FLUORIDE,HISTIDINE,IODINE,IRON,ISOLEUCINE,ISOLINOLEIC-ACID,LEUCINE,LYSINE,MAGNESIUM,MANGANESE,METHIONINE,MOLYBDENUM,NIACIN,NIACIN|NICOTINIC-ACID,PANTOTHENIC-ACID,PHENYLALANINE,PHOSPHORUS,POTASSIUM,PROLINE,PROTEIN,PROTEIN|PROTEINS,PYRIDOXINE,PYRIDOXINE|VIT-B-6,RIBOFLAVIN,RIBOFLAVIN|VITAMIN-B-2,SELENIUM,SODIUM,STARCH,SUCROSE,SUCROSE|SUGAR,SUGAR,SUGARS,THIAMIN,THIAMINE,THIAMIN|THIAMINE,THIAMIN|VITAMIN-B-1,THREONINE,TOCOPHEROL,TOCOPHEROLS,TRYPTOPHAN,VALINE,VIT-B-6,VIT-E,VITAMIN-B-6,VITAMIN-K-1,ZINC
39,Corn Salad,0.0,0,0.0,0.0,0.0,713.9,0,50000.0,0,0.0,0.0,1.32,5555.5,0.0,500.0,0.0,414.3,1375.0,0.0,1847.0,1402.5,379.8,20.1,347.0,0.241,0.0,0.0,0.0,1264.0,0.0,4886.4,1083.0,27777.5,0,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1041.5,0.0,0.0,361.0,1375.0,0.0,0.0,0.0,0.0,6.45
40,Custard Apple,0.0,0,0.0,140.0,0.0,127.0,0,88400.0,0,0.0,0.0,0.0,21050.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,130.0,63.0,0.0,14.0,0.0,0.0,3.8,1.7,0.0,147.5,2281.0,0.0,8900.0,0,0.0,0.0,0.55,0.0,0.0,27.5,0.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.8,0.0,0.0,0.0,0.0
41,Date Palm,0.0,0,0.0,75.0,0.0,121.8,0,90075.0,0,161.0,0.0,0.30000000000000004,6250.0,0.0,39.0,0.006,8.4,465.0,0.0,114.0,245.0,79.0,3.05,219.0,0.0,13.5,0.0,1.0,74.0,495.75,561.0,159.0,5050.0,0,0.0,0.0,0.13,0.0,0.0,60.0,20600.0,21910.0,0,0,85000.0,0.17,0.0,0.0,0.0,98.0,0.0,0.0,64.5,271.0,0.3,0.0,0.0,0.0,1.65
42,Durian,0.0,0,0.0,127.0,0.0,60.0,0,87368.5,0,0.0,0.0,0.0,7380.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,201.0,1810.0,0.0,11600.0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0,43000.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Echte Feige (Ger.),0.0,0,0.0,153.15,0.0,1791.4,0,77507.15,0,0.0,0.0,0.36,12766.666666666666,0.0,52.7,0.0,5.7,110.1,0.0,158.0,143.6,87.2,0.7,28.7,0.0,3.2,0.0,1.4,86.2,276.4,1166.2,234.6,13000.0,0,0.0,0.0,0.57,0.0,0.0,36.6,0.0,225.0,0,0,0.0,0.33,0.0,0.0,0.0,114.9,0.0,0.0,28.7,134.0,0.54,0.0,0.0,0.0,0.7
44,Elephant Garlic,0.0,0,0.0,220.89999999999998,0.0,354.3,0,71333.33333333333,0,0.0,0.0,0.0,3300.0,0.0,0.0,0.0,12.933333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,347.56666666666666,2981.1,0.0,23433.333333333332,0,0.0,0.0,1.03,0.0,0.0,47.2,0.0,0.0,0,0,0.0,0.8266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Endive,0.0,0,0.0,930.2,0.0,1008.0,0,53945.2,0,0.0,0.048,1.68,3220.0,0.0,370.4,0.0,36.0,1159.4,0.0,1578.1,1014.5,240.0,7.2,225.4,0.168,6.4,0.0,14.5,853.5,576.0,9600.0,950.0,20930.0,0,0.0,0.0,1.3,0.0,0.0024,456.0,0.0,0.0,0,0,0.0,1.4,0.0,0.0,0.0,805.1,0.0,0.0,80.5,1014.5,0.32,0.0,0.0,0.0,14.6
46,English Walnut,13.5,0,0.0,935.0666666666666,0.002,110.0,0,24800.0,0,0.0,0.0,1.5,70100.0,0.0,372.5,0.0,2.8,587.5,0.0,1029.5,402.5,194.5,3.2,290.5,0.0,3.1,0.0,1.0,652.0,510.0,687.0,574.0,20400.0,0,0.0,0.0,0.5,0.0,0.0,13.0,0.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,465.0,0.0,441.0,196.0,750.5,1.1,0.0,0.0,0.0,3.0
47,European Chestnut,0.0,0,0.0,0.0,0.0,52.8,0,88616.0,0,0.0,0.0,0.5,5876.0,0.0,121.8,0.0,1.6,172.0,0.0,251.8,261.7,70.4,1.3,102.8,0.0,0.0,0.0,0.0,185.1,112.2,864.6,222.2,9450.0,0,0.0,0.0,0.0,0.0,0.0,6.6,58000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,160.4,0.0,0.0,48.5,237.8,0.0,0.0,0.0,0.0,1.0
48,European Grape,3.1,0,0.0,159.33333333333334,0.0,1123.7,0,91409.5,0,0.0,0.46925,1.16,11694.9,0.0,123.5,0.0,52.7,25.7,0.0,72.0,77.2,333.5,52.0,113.2,0.0539,1.54,0.0,0.13,72.0,177.9,2237.0,113.2,7474.533333333333,0,0.0,0.0,0.505,0.0,0.0012,30.5,0.0,0.0,0,18900,0.0,0.795,0.0,0.0,0.0,92.6,0.0,0.0,15.4,92.6,0.0,0.0,0.6,0.0,5.1
49,Garden Cress,94.8,0,0.0,651.0,0.0,1181.5,0,51887.0,0,0.0,0.0,0.0,16052.0,0.0,0.0,0.011,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,1233.5,5717.0,0.0,28843.25,0,0.0,0.0,2.5,0.0,0.0,132.0,0.0,0.0,0,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0
