db_name,my_name
GAMMA-ELEMENE,NA
GAMMA-GUANIDINO-N-BUTYRIC-ACID,NA
GAMMA-LINOLENIC-ACID,NA
GAMMA-MUUROLENE,NA
GAMMA-OCTALACTONE,NA
GAMMA-SELINENE,NA
GAMMA-TERPINENE,NA
GAMMA-TOCOPHEROL,NA
GENTISIC-ACID,NA
GERANIAL,NA
GERANIOL,NA
GERANYL-2-METHYL0BUTYRATE,NA
GERANYL-ACETATE,NA
GERANYL-ACETONE,NA
GERANYL-ISOBUTYRATE,NA
GLUCOSE,NA
GLUCOSIDES,NA
GLUTAMIC-ACID,NA
GLUTAMINE,NA
GLUTATHIONE,NA
GLYCERIN,NA
GLYCOLIPIDS,NA
GLYCOSIDES,NA
GOLD,NA
GROSSAMIDE,NA
GUAFINE,NA
GUM,NA
HAFNIUM,NA
HARMAN,NA
HCN,NA
HEMIN,NA
HENEICOSANE,NA
HEPT-2-EN-1-AL,NA
"HEPTA-2,4-DIENAL",NA
HEPTAN-1-AL,NA
HEPTAN-1-OL,NA
HEPTANAL,NA
HEPTANOIC-ACID,NA
HEPTANOL,NA
HEPTANONITRILE,NA
HEX-3-EN-1-OL,NA
HEXADECAN-1-OL,NA
HEXA-HYDROCYCLOPENTA[C]PYRAN-3(1)-ONE,NA
HEXAN-1-AL,NA
HEXAN-1-OL,NA
HEXANAL,NA
HEXANE,NA
HEXANOL,NA
HEXANONITRILE,NA
HEX-CIS-3-EN-1-AL,NA
HEX-CIS-3-EN-1-OL,NA
HEXOSAMINE,NA
HEX-TRANS-2-1-AL,NA
HEX-TRANS-2-1-OL,NA
HEX-TRANS-2-EN-1-AL,NA
HEX-TRANS-2-EN-1-OIC-ACID,NA
HEX-TRANS-2-EN-1-OL,NA
HOMOCAPSAICIN,NA
HOMODIHYDROCAPSAICIN,NA
HUMULENE,NA
HYDROXYCINNAMIC-ACID,NA
HYDROXY-CITRONELLOL,NA
HYDROXYPROLINE,NA
HYPERIN|HYPEROSIDE,NA
IMPERATORIN,NA
INDOLE,NA
INOSITOL,NA
INOSITOL|MESO-INOSITOL,NA
INULIN,NA
ISOBUTYRIC-ACID,NA
ISOCHLOROGENIC-ACID,NA
ISOFERULIC-ACID,NA
ISOFRAXIDIN-7-O-BETA-D-GLUCOSIDE,NA
ISOLAPPAOLA,NA
ISOPULEGOL,NA
ISOPULEGOL|ISOPULEGOLE,NA
ISOQUERCITRIN|QUERCETIN-3-O-BETA-D-GLUCOSIDE,NA
ISOVALERALDEHYDE,NA
ISOVITILAGIN,NA
JUGLONE,NA
KAEMPFEROL,NA
LANTHANUM,NA
LAPPAOLA,NA
LAPPAOL-C,NA
LAPPAOL-E,NA
LAPPAOL-F,NA
LAURIC-ACID,NA
LEAD,NA
LECITHIN,NA
LIGNIN,NA
LIGNOCERIC-ACID,NA
LIMONENE,NA
LINALOL,NA
LINALOL-OXIDE,NA
LINALOOL,NA
LINOLEIC-ACID,NA
LINOLENIC-ACID,NA
LITHIUM,NA
LONGIFOLENE,NA
LUTEOLIN,NA
LUTEOLIN-7-O-BETA-GLUCOSIDE,NA
LUTETIUM,NA
LYCINE,NA
LYCOPENE,NA
MALIC-ACID,NA
MALVIDIN-3-O-ARABINOSIDE,NA
MALVIDIN-3-O-GALACTOSIDE,NA
MALVIDIN-3-O-GLUCOSIDE,NA
MANNITOL,NA
MATAIRESINOL,NA
M-CYMOL,NA
MERCURY,NA
MESO-INOSITOL,NA
METHANETHIOL,NA
METHANOL,NA
METHOXYL,NA
METHYL-3-HYDROXY-3-METHYLBUTANOATE,NA
METHYL-AMINE,NA
METHYLBENZENE,NA
METHYL-BETA-ACETOXYHEXANOATE,NA
METHYL-BETA-HYDROXYBUTYRATE,NA
METHYL-BETA-HYDROXYHEXANOATE,NA
METHYL-BETA-METHYLTHIOPROPIONATE,NA
METHYL-BUTYRATE,NA
METHYL-CAPRYLATE,NA
METHYL-CIS-(4?)-OCTENOATE,NA
METHYL-HEPTENONE,NA
METHYL-ISOCAPROATE,NA
METHYL-ISOVALERATE,NA
METHYL-N-METHYL-ANTHRALINATE,NA
METHYL-PROPANOL,NA
METHYL-PROPYL-SULFIDE,NA
METHYL-PYRAZINE,NA
METHYL-THYMOL|THYMYL-METHYL-ETHER,NA
MEVALONIC-ACID,NA
MUTATOXANTHIN,NA
MYO-INOSITOL,NA
MYRCENE,NA
MYRICETIN,NA
MYRISTIC-ACID,NA
MYRISTICIN,NA
MYRTINE,NA
NAPHTHALEN-1-OL,NA
NAPHTHALENE,NA
NARINGENIN,NA
N-CIS-FERULOYL-TYRAMINE,NA
N-DODECANE,NA
NEOARCTIN-B,NA
NEO-BETA-CAROTENE-B,NA
NEO-BETA-CAROTENE-U,NA
NEOCLOROGENIC-ACID,NA
NEOTIGOGENIN,NA
NERAL,NA
NEROL,NA
NEROL-ACETATE,NA
NERYL-ACETATE,NA
NERYL-FORMATE,NA
N-HEXADECANE,NA
N-HEXYL-BUTYRATE,NA
N-HEXYL-CAPROATE,NA
NICAIN,NA
NICKEL,NA
NITRATE,NA
NITROGEN,NA
N-METHYL-ANILINE,NA
N-METHYL-BENZYLAMINE,NA
N-METHYL-PHENETHYLAMINE,NA
NON-2-EN-1-AL,NA
NONAN-1-AL,NA
NONAN-1-AL|NONANAL|NONYL-ALDEHYDE,NA
NONANAL,NA
NONANE,NA
NONANOIC-ACID,NA
NONANOIC-ACID-VANILLYLAMIDE,NA
NONANOL,NA
NOOTKATONE,NA
NORDENTATIN,NA
NORDIHYDROCAPSAICIN,NA
NORVALINE,NA
N-PENTYL-AMINE,NA
N-PROPYL-AMINE,NA
N-TETRADECANE,NA
N-TRANS-FERULOYL-OCTOPAMINE,NA
N-TRANS-FERULOYL-TYRAMINE,NA
N-TRANS-P-COUMAROYL-OCTOPAMINE,NA
N-TRANS-P-COUMAROYL-TYRAMINE,NA
N-TRIDECANE,NA
N-UNDECANE,NA
OCIMENE,NA
O-COUMARIC-ACID,NA
OCT-2-EN-1-AL,NA
OCTAN-1-AL,NA
OCTAN-1-OL,NA
OCTANAL,NA
OCTANOIC-ACID,NA
OCTANOL,NA
OCTEN-1-OL-(3),NA
OCTOPAMINE,NA
OCTYL-ACETATE,NA
OLEIC-ACID,NA
OSTHOLE,NA
OXALATE,NA
OXALATE|OXALIC-ACID,NA
OXALIC-ACID,NA
OXYPEUCEDANIN-HYDRATE,NA
PALMITIC-ACID,NA
PALMITOLEIC-ACID,NA
P-AMINO-BENZALDEHYDE,NA
P-AMINOBENZOIC-ACID,NA
PARASORBIC-ACID,NA
P-COUMARIC-ACID,NA
P-CRESOL,NA
P-CYMEN-8-OL,NA
P-CYMENE,NA
P-CYMENE|P-CYMOL,NA
P-CYMOL,NA
PECTIN|POLYGALACTURONIC-ACID,NA
PECTINS,NA
PEDUNCULAGIN,NA
PELARGONIDIN-3-DIGLUCOSIDE,NA
PENT-1-EN-3-OL,NA
PENTAN-1-AL,NA
PENTAN-1-OL,NA
PENTANE,NA
PENTOSAN,NA
PENTOSANE,NA
PEONIDIN-3-O-ARABINOSIDE,NA
PEONIDIN-3-O-GALACTOSIDE,NA
PEONIDIN-3-O-GLUCOSIDE,NA
PERILLALDEHYDE,NA
PERILLYL-ACETATE,NA
PERSEITOL,NA
PETROSELINIC-ACID,NA
PETUNIDIN-3-O-ARABINOSIDE,NA
PETUNIDIN-3-O-GALACTOSIDE,NA
PETUNIDIN-3-O-GLUCOSIDE,NA
PHENETHYLAMINE,NA
PHENOL,NA
PHENYL-ACETALDEHYDE,NA
PHENYLACETONITRILE,NA
PHLOROGLUCINOL,NA
PHLOROGLUCINOL-CARBOXYLIC-ACID,NA
PHOSPHATIDYL-CHOLINE,NA
PHOSPHATIDYL-GLYCEROL,NA
PHOSPHOLIPIDS,NA
P-HYDROQUINONE,NA
P-HYDROXY-BENZOIC-ACID,NA
PHYLLOQUINONE,NA
PHYTATE,NA
PHYTATE|PHYTIC-ACID,NA
PHYTIN,NA
PHYTIN-PHOSPHORUS,NA
PHYTOENE,NA
PHYTOFLUENE,NA
PHYTOSTEROLS,NA
PINITOL,NA
PIPERIDINE,NA
PIPERIDINES,NA
PROSTAGLANDIN-A-1,NA
PROTOCATECHUIC-ACID,NA
PSEUDOTARAXASTEROL,NA
PSORALEN,NA
PUNICACORTEIN-A,NA
PUNICACORTEIN-B,NA
PUNICACORTEIN-C,NA
PUNICACORTEIN-D,NA
PUNICALAGIN,NA
PUNICALIN,NA
"PUNICIC-ACID|PUNICIC-ACID-(CIS-9,TRANS-11,CIS-13-OCTADECATRIENOIC-ACID)",NA
PUNIGLUCONIN,NA
P-VINYL-GUAIACOL,NA
PYRIDINE,NA
PYRROLIDINE,NA
PYRUVIC-ACID,NA
QUERCETIN,NA
QUERCETIN-4-O-BETA-D-GLUCOSIDE|SPIRAEOSIDE,NA
QUINIC-ACID,NA
RAFFINOSE,NA
RESIN,NA
RESINS,NA
RESVERATROL,NA
RHAPONTICIN,NA
RISHITINONE,NA
RUBIDIUM,NA
RUTIN,NA
S-(2-CARBOXY-PROPYL)-GLUTATHIONE,NA
SABINENE,NA
SABINENE-HYDRATE,NA
SACCHAROSE|SUCROSE,NA
SALICYLATES,NA
SALICYLIC-ACID,NA
SALICYLIC-ACID-METHYL-ESTER,NA
SAMARIUM,NA
SAMBUCINE,NA
SAPONIN,NA
SCANDIUM,NA
SELINIUM,NA
SERINE,NA
SEROTONIN,NA
SFA,NA
SHIKIMIC-ACID,NA
SILICA,NA
SILICON,NA
SILICON-OXIDE,NA
SILVER,NA
SINAPIC-ACID,NA
S-METHYL-METHIONINE,NA
SOLANINE,NA
SOLANOLONE,NA
"SOLAVETIVONE|SPIROVETIVA-1(10),11,DIEN-2-ONE",NA
SORBITOL,NA
S-PROP-1-ENYL-CYSTEINE-S-OXIDE,NA
SQUALENE,NA
S-SAMBUNIGRIN|SAMBUNIGRIN,NA
STACHYOSE,NA
STEARIC-ACID,NA
STEARIDONIC ACID,NA
STEROLS,NA
STIGMASTEROL,NA
STRONTIUM,NA
SUBERENOL,NA
SUCCINIC-ACID,NA
SULFUR,NA
SYNEPHERINE,NA
SYRINGALDEHYDE,NA
SYRINGIC-ACID,NA
TANNINS,NA
TANTALUM,NA
TARTARIC-ACID,NA
TARTARIC-ACID-CAFFEOYL-ESTER,NA
TERPINEN-1-OL,NA
TERPINEN-4-OL,NA
TERPINEOL-ACETATE,NA
TERPINEOLENE,NA
TERPINOLENE,NA
TETRADECAN-1-OL,NA
TETRADECANAL,NA
TETRAHYDROGERANIOL,NA
THIOPHEN-2-CARBOXYALDEHYDE,NA
THIOPHEN-3-CARBOXYALDEHYDE,NA
THORIUM,NA
THYMOL,NA
THYMYL-METHYL-ETHER,NA
TIN,NA
TITANIUM,NA
TOLUENE,NA
TOLUIDENE,NA
TOMATINE,NA
